weekday,is_weekend,hour,demand_original,demand_effective,to_yuzhnaya,to_rumyantsevo,to_ngpt,cap_yuzhnaya,cap_rumyantsevo,cap_ngpt,load_yuzhnaya_pct,load_rumyantsevo_pct,load_ngpt_pct,deficit_yuzhnaya,deficit_rumyantsevo,deficit_ngpt,total_deficit
Типичный будний день,0,0,36,41,20,12,8,0,0,1150,999,999,1,20,12,0,32
Типичный будний день,0,1,5,6,3,2,1,0,0,1150,999,999,0,3,2,0,5
Типичный будний день,0,2,2,2,1,1,0,0,0,1150,999,999,0,1,1,0,2
Типичный будний день,0,3,1,1,0,0,0,0,0,1150,999,999,0,0,0,0,0
Типичный будний день,0,4,2,2,1,1,0,0,0,1150,999,999,0,1,1,0,2
Типичный будний день,0,5,109,109,54,33,22,0,0,1150,999,999,2,54,33,0,87
Типичный будний день,0,6,745,745,372,224,149,14000,14000,1150,3,2,13,0,0,0,0
Типичный будний день,0,7,1971,1971,986,591,394,60000,60000,1880,2,1,21,0,0,0,0
Типичный будний день,0,8,2629,2629,1314,789,526,60000,60000,1880,2,1,28,0,0,0,0
Типичный будний день,0,9,1586,1586,793,476,317,60000,60000,1880,1,1,17,0,0,0,0
Типичный будний день,0,10,1072,1072,536,322,214,40000,40000,1150,1,1,19,0,0,0,0
Типичный будний день,0,11,960,960,480,288,192,40000,40000,1150,1,1,17,0,0,0,0
Типичный будний день,0,12,897,897,448,269,179,40000,40000,1150,1,1,16,0,0,0,0
Типичный будний день,0,13,996,996,498,299,199,40000,40000,1150,1,1,17,0,0,0,0
Типичный будний день,0,14,1062,1062,531,319,212,40000,40000,1150,1,1,18,0,0,0,0
Типичный будний день,0,15,1182,1182,591,355,236,40000,40000,1150,1,1,21,0,0,0,0
Типичный будний день,0,16,1427,1427,714,428,285,40000,40000,1150,2,1,25,0,0,0,0
Типичный будний день,0,17,1787,1787,894,536,357,60000,60000,1880,1,1,19,0,0,0,0
Типичный будний день,0,18,1850,1850,925,555,370,60000,60000,1880,2,1,20,0,0,0,0
Типичный будний день,0,19,979,979,490,294,196,60000,60000,1880,1,0,10,0,0,0,0
Типичный будний день,0,20,669,669,334,201,134,60000,60000,1880,1,0,7,0,0,0,0
Типичный будний день,0,21,418,418,209,125,84,30000,30000,1150,1,0,7,0,0,0,0
Типичный будний день,0,22,256,256,128,77,51,30000,30000,1150,0,0,4,0,0,0,0
Типичный будний день,0,23,104,104,52,31,21,30000,30000,1150,0,0,2,0,0,0,0
Типичный выходной день,1,0,56,64,32,19,13,0,0,1150,999,999,1,32,19,0,51
Типичный выходной день,1,1,4,4,2,1,1,0,0,1150,999,999,0,2,1,0,3
Типичный выходной день,1,2,1,1,0,0,0,0,0,1150,999,999,0,0,0,0,0
Типичный выходной день,0,3,0,0,0,0,0,0,0,1150,999,999,0,0,0,0,0
Типичный выходной день,0,4,0,0,0,0,0,0,0,1150,999,999,0,0,0,0,0
Типичный выходной день,1,5,66,66,33,20,13,0,0,1150,999,999,1,33,20,0,53
Типичный выходной день,1,6,297,297,148,89,59,14000,14000,1150,1,1,5,0,0,0,0
Типичный выходной день,1,7,432,432,216,130,86,60000,60000,1880,0,0,5,0,0,0,0
Типичный выходной день,1,8,618,618,309,185,124,60000,60000,1880,1,0,7,0,0,0,0
Типичный выходной день,1,9,699,699,350,210,140,60000,60000,1880,1,0,7,0,0,0,0
Типичный выходной день,1,10,666,666,333,200,133,40000,40000,1150,1,0,12,0,0,0,0
Типичный выходной день,1,11,752,752,376,226,150,40000,40000,1150,1,1,13,0,0,0,0
Типичный выходной день,1,12,802,802,401,241,160,40000,40000,1150,1,1,14,0,0,0,0
Типичный выходной день,1,13,832,832,416,250,166,40000,40000,1150,1,1,14,0,0,0,0
Типичный выходной день,1,14,908,908,454,272,182,40000,40000,1150,1,1,16,0,0,0,0
Типичный выходной день,1,15,816,816,408,245,163,40000,40000,1150,1,1,14,0,0,0,0
Типичный выходной день,1,16,800,800,400,240,160,40000,40000,1150,1,1,14,0,0,0,0
Типичный выходной день,1,17,822,822,411,247,164,60000,60000,1880,1,0,9,0,0,0,0
Типичный выходной день,1,18,705,705,352,212,141,60000,60000,1880,1,0,8,0,0,0,0
Типичный выходной день,1,19,579,579,290,174,116,60000,60000,1880,0,0,6,0,0,0,0
Типичный выходной день,1,20,436,436,218,131,87,60000,60000,1880,0,0,5,0,0,0,0
Типичный выходной день,1,21,381,381,190,114,76,30000,30000,1150,1,0,7,0,0,0,0
Типичный выходной день,1,22,276,276,138,83,55,30000,30000,1150,0,0,5,0,0,0,0
Типичный выходной день,1,23,120,120,60,36,24,30000,30000,1150,0,0,2,0,0,0,0
