direction,way_id,route_name,code,trips
A_to_metro,6553,—,—,5594
A_to_metro,227,229 автобус,229,2489
A_to_metro,6343,—,—,1609
A_to_metro,6890,—,—,1442
A_to_metro,281,283 автобус,283,1210
A_to_metro,1000,т6 автобус,1006,1168
A_to_metro,6186,—,—,885
A_to_metro,642,645 автобус,645,761
A_to_metro,5010,—,—,589
A_to_metro,4877,—,—,340
A_to_metro,6329,—,—,181
A_to_metro,712,715 автобус,715,120
A_to_metro,1316,898к автобус,3898,95
A_to_metro,6261,—,—,94
A_to_metro,1216,459 автобус,1459,76
A_to_metro,816,820 автобус,820,62
A_to_metro,189,191 автобус,191,55
A_to_metro,600,603 автобус,603,54
A_to_metro,109,111 автобус,111,45
A_to_metro,7001,—,—,42
B_from_metro,5010,—,—,2998
B_from_metro,227,229 автобус,229,2302
B_from_metro,6186,—,—,1825
B_from_metro,281,283 автобус,283,1820
B_from_metro,6890,—,—,746
B_from_metro,109,111 автобус,111,562
B_from_metro,189,191 автобус,191,532
B_from_metro,1334,с15 коммерческий автобус,6015,478
B_from_metro,642,645 автобус,645,453
B_from_metro,894,677ф автобус,898,407
B_from_metro,439,12 трамвай,442,365
B_from_metro,1911,СТ01 автобус,7242,322
B_from_metro,1266,891К автобус,1891,313
B_from_metro,169,171 автобус,171,304
B_from_metro,543,1002 автобус пригород МО,546,302
B_from_metro,4877,—,—,266
B_from_metro,35,17 трамвай,35,228
B_from_metro,426,3 трамвай,429,225
B_from_metro,6553,—,—,223
B_from_metro,429,32 трамвай,432,218
